x,z
[pytorch] [feature request] Entropy function,you can calculate this via `distributions.Categorical(probs=p).entropy()`?
Error Sharing CUDA Models between Processes using `torch.multiprocessing`,I can repro this on 0.4.1. Running bisect to find the offending commit.
[feature request] unique to work on nd tensors via dim arg,I have no plans to work on it @ptrblck and I don't think anyone else is planning on it (@alicanb?). \r\n\r\nThat and the [cuda kernel for unique](https://github.com/pytorch/pytorch/blob/master/aten/src/ATen/native/cuda/Unique.cu) look like good places to start.
[pytorch] [docs] Mention that sparse COO tensors support duplicate indices,"This is a nice explanation of coalesced sparse tensors. A suggestion: add a link to this page from `torch.sparse_coo_tensor` doc, saying that details about duplicate indices are there?"
Torch handles assignment to all-False boolean masks incorrectly,probably fixed by @gchanan 's changes
mse_loss reduction='none' is ignored when required_grads is True,"Many thanks @li-roy, with 1.0.0.dev20181018 it works smoothly."
3x regression in JIT LSTM speeds,Yes the slowdown was due to memory leak
[JIT] Support torch.distributions.utils.broadcast_all(),I believe this is related to https://github.com/pytorch/pytorch/issues/8076
windows pytorch 0.4.1 error=48 : no kernel image is available for execution on the device,"The new binaries are updated for Windows.\r\n\r\nIf you have previously installed via anaconda, you have to do:\r\n\r\n```\r\nconda uninstall -y pytorch\r\nconda clean -t -y\r\n```\r\n\r\nand then reinstall pytorch.\r\n\r\n\r\nIf you have installed via `pip` command on https://pytorch.org, first uninstall pytorch via `pip uninstall torch` and then rerun that command (so that the new wheel is downloaded and installed)"
[jit] Proposal: fuse add ops that expand tensors,"Me, @zdevito and @colesbury discussed that when merging the `TensorIterator` PR, and decided to settle for a temporary regression in the fuser to unblock it. I don't think we should insert unnecessary expands if the nodes won't get fused anyway, because that's just adding extra work, so I'd go with option 2."
Quadro m2000m not able to get pytorch working with gpu,"The new binaries are updated for Windows.\r\n\r\nIf you have previously installed via anaconda, you have to do:\r\n\r\n```\r\nconda uninstall -y pytorch\r\nconda clean -t -y\r\n```\r\n\r\nand then reinstall pytorch.\r\n\r\n\r\nIf you have installed via `pip` command on https://pytorch.org, first uninstall pytorch via `pip uninstall torch` and then rerun that command (so that the new wheel is downloaded and installed)"
"Wrong Warning \""compiler (c++) may be ABI-incompatible with PyTorch!\""","@johnmarkwayve no, the warning is only raised if you're using a binary build of Pytorch, i.e. from pip. It's never raised if you compile from source."
[Performance Issue] Inference time increases on CPU the more you train the model on a TitanX.,"Yes @vadimkantorov , that was the solution!!
I enabled ""set_flush_denorm"" in case of CPU and now different checkpoints have the same inference time. Many thanks!"
CreateNet(train_net) cannot find blob created by the RunNetOnce(init_net) in Caffe2 (C++),"I just found out that it works, if I add \""filter\"" as external input for the \""train_net\"" like so:\r\n\r\n train_net.add_external_input (\""filter\"");\r\n\r\nbefore executing CreateNet(train_net)."
MSELoss wrongly sums instead of averages when reduction='elementwise_mean',"Yes but it’s fixed on master and will be included in the next release.\n\nOn Wed, Sep 19, 2018 at 03:52 simama <notifications@github.com> wrote:\n\n> I am on 0.4.1 version and it seems this bug is still not fixed.\n>\n> —\n> You are receiving this because you were mentioned.\n> Reply to this email directly, view it on GitHub\n> <https://github.com/pytorch/pytorch/issues/10148#issuecomment-422696370>,\n> or mute the thread\n> <https://github.com/notifications/unsubscribe-auth/AFaWZfuFXXaUvgqzfKfZO7_kPUMt0gsQks5ucfe-gaJpZM4VrZIT>\n> .\n>\n"
Support 5D tensors in PReLU,Thanks! I'll give it a go.
Backward engine computes unnecessary dependencies,Fixed in #752.
F.relu(inplace) followed by F.dropout(inplace) breaks backward pass,"Yeah, that is expected. You can't apply in-place operations to leaf Variables. Just remove the `inplace` flag and it should be good."
a simple compiling error with clang in macOS,hopefully #732 fixes this
"torch.range is upper-bound inclusive, while python range and numpy arange are upper-bound exclusive",I think we should make a `torch.arange` that is equivalent to `numpy.arange` and depreceate `torch.range` properly. It is used quite extensively all over the place.\r\nwdyt @colesbury @apaszke ?
Improve error readibility,add to https://github.com/pytorch/pytorch/issues/39
LSTM forget gate bias initialization,"Yes, the ordering of weights a biases is the same for all implementations and is `ingate, forgetgate, cellgate, outgate`. You need to initialize the values between 1/4 and 1/2 of the bias vector to the desired value."
Feature Request: Add BCELossWithLogits to replace BCELoss for numerical stability.,> @yzgao I am having trouble understanding how you came up with this formulation:\r\n> \r\n> 1. How is this equivalent to BCE?\r\n> 2. Where do the numerical instabilities arise in BCE and how does this formulation fix it?\r\n> \r\n> Thank you for your time!\r\n\r\nyou can see it at http://gameofdimension.com/2017/10/29/numerical-stability/
Error while saving my network,this is a syntax error. `torch.save` does not have the order of arguments as you've used.
Build fails on Ubuntu 14.04 + conda latest,CUDA Version 8.0.27 has this issue. it is a pre-release version. The stable CUDA8 version is 8.0.44
"cuda.XxxTensor.inverse, svd ... raise errors at even times","@ShigekiKarita @rdfong Do either of you know if this still happens? It's been a while and we've done many updates of magma version, and so the problem may have been fixed. I am unable to reproduce on the pytorch: 1.0.1-py3.6_cuda9.0.176_cudnn7.4.2_2 pytorch official conda release."
Visualizing Networks,Thanks Soumith. Found it.\r\n\r\nDiscussion for visualization of DNN can be found [here](https://discuss.pytorch.org/t/how-to-get-the-graph-of-your-dnn-drawn/184).
view() after transpose() raises non contiguous error,"Yes, this is expected, as `view` is only supposed to work on contiguous tensors, and transposing a tensor makes it non-contiguous. You can use `.contiguous()` after `transpose` to fix your issue"
Feature Request: Bitwise Operations,fixed via #1556
Errors import torch installed form source on macOS,Run python from a different directory than the repository root.
Add support for variable length sequences in cuDNN RNNs,@glample CUDNN already supports variable length sequences through a packed-array API; PyTorch just doesn't currently use that functionality
utils.data.DataLoader freezes,"What is the size of your shared memory segment (df -h | grep shm)? Pytorch uses shared memory to transfer data between processes, and it is quite demanding this way."
Maxout Layer,"For ones who need Maxout, I changed the above code to make it work. \r\n\r\n\r\n```python\r\nclass Maxout(nn.Module):\r\n\r\n def __init__(self, d_in, d_out, pool_size):\r\n super().__init__()\r\n self.d_in, self.d_out, self.pool_size = d_in, d_out, pool_size\r\n self.lin = nn.Linear(d_in, d_out * pool_size)\r\n\r\n\r\n def forward(self, inputs):\r\n shape = list(inputs.size())\r\n shape[-1] = self.d_out\r\n shape.append(self.pool_size)\r\n max_dim = len(shape) - 1\r\n out = self.lin(inputs)\r\n m, i = out.view(*shape).max(max_dim)\r\n return m\r\n```\r\n"
dead loop when iterate through dataloader using customized datasetfolder,"Sorry, I don't know it, either. Multiprocessing is very complex when some interactive interpreters are involved like juypter or IPython. Anyway, Could you please close this PR?"
torch.autograd.gradcheck doesn't work for a function with one argument,fixed via https://github.com/pytorch/pytorch/pull/13543
Unefined reference to C10::Error::Error when linking against libTorch,"I think you're missing `\""-D_GLIBCXX_USE_CXX11_ABI=0\""` in your build flags. We provide this in our TorchConfig.cmake, which is why we recommend cmake as the easiest way to build LibTorch. That said, you can add that to your QtCreator config. See https://github.com/pytorch/pytorch/blob/master/cmake/TorchConfig.cmake.in for the relevant file\r\n\r\nPlease let me know if that fixes the issue."
torch.dist with inf or -inf norm always returns 1,"I think `dist` exists for legacy reasons. The THC backend has a fused implementation that performs the subtraction and the norm in one kernel which will make it faster than `at::norm(src - dest, p)` in some cases."
Exception messages are getting swallowed in Script from python functions,@eellison This may be a regression related to adding exceptions and assertions. Can you look at it?
can't convert CUDA tensor to numpy. Use Tensor.cpu() to copy the tensor to host memory first.,"`.numpy()` shares memory with the input CPU tensor, so `cuda_t.cpu().numpy()` is different with `cpu_t.numpy()` and we want to explicitly ask users to convert to CPU tensor."
Support dist.barrier with NCCL backend,"@SsnL See my implementation, there are two scenarios that need to be considered and I think this should be good to go."
GPU Memery leak,i find a solution yesterday\r\n\r\nbatch_y_predlabel has to be **detach** so the GPU memory can be free.\r\n\r\nI don't know if it's normal that a GPU tensor transfer to the CPU in the compute graph still take GPU memory?\r\nfor gradient compute I imagine?
[Build error] libnccl.so: error adding symbols: File in wrong format,"it's very likely that you installed x64 libnccl, instead of ppc64 version"
Variable/Tensor Merge Proposal,"Most of the work here is done, the rest is cleanup, and making good on the devirtualization promise."
Can cuda10 use pytorch-0.4.1?,no
cosine_similarity function produces results more than 1.0,"Probably better to re-order the computations to improve numerical precision. Might want to look at SciPy:\r\n\r\nhttps://github.com/scipy/scipy/blob/453932337f4a67170e4e7fda3f808b273a787a41/scipy/spatial/distance.py#L717-L721\r\n\r\nI think the issue is that we're doing:\r\n\r\n```\r\nx / (sqrt(x) * sqrt(x)) # bad\r\n```\r\n\r\nvs.\r\n\r\n```\r\nx / sqrt(x * x) # good\r\n```\r\n\r\nI don't know enough about floating point arithmetic to argue why the second is more accurate, but it seems to be. (You can look at the min/max over a large random tensor)"
Port adaptive_avg_pool3d to ATen,@crcrpar It doesn't look like anyone is working on this yet. Paging @xmnlab and @skrah as heads up; can you two volunteer to review the PR when it comes up?
Torch Inverse C++ - Error in magma_getdevice_arch: MAGMA not initialized,"It looks like the C++ CUDA API is not calling the magma initialization function (it is done from Python only)\r\n\r\n```\r\nmacbook-pro-116:pytorch-tmp ezyang$ ag THCMagma_init\r\ntorch/csrc/cuda/Module.cpp\r\n382: THCMagma_init(state);\r\n\r\naten/src/THC/THCTensorMathMagma.cu\r\n21:void THCMagma_init(THCState *state)\r\n\r\naten/src/THC/THCGeneral.h.in\r\n71:THC_API void THCMagma_init(THCState *state);\r\n```\r\n\r\nCC @yf225, can you look into this, or delegate it accordingly?"
Is mkl-dnn enabled in the latest binary distribution v1.0.1?,Yes.
nn.LSTM gives nondeterministic results with dropout and multiple layers,Closed and fixed in cudnn_7.6.1 @ngimel
Add support for mixture models in torch.distributions,"`MixtureSameFamily` should be easy to implement. We don't use this in Pyro since we usually keep the mixture component id as an explicit variable and enumerate over that variable:\r\n```py\r\ncomponent = pyro.sample(\""component\"", dist.Categorical(probs),\r\n                        infer={\""enumerate\"": \""parallel\""})\r\nassert component.reshape(-1).shape == probs.shape[-1:]\r\nvalue = pyro.sample(\""mixture\"", MyDistribution(my_params[component]))\r\n```\r\ncc @martinjankowiak"
IndexError while trying to save torchscript,"Closing this since I can't reproduce and we fixed some similar errors recently, but feel free to re-open if you're still getting this error"
Strange issue moving torch::Tensors in libtorch/C++,"The fact that it doesn't happen when you are pure C++ makes me think it's a GIL problem. I have a guess: adjust your code to stop using `gil_scoped_release`; instead, manually release the GIL yourself inside the bodies of your functions using AutoNoGIL."
Descriptive error message for distribution constraint violation,"> Arguably, exceeding the normalization error tolerance should only trigger a warning, since it just reflects a limitation of finite precision arithmetic, not an error by the caller. Unlike e.g. passing negative / inf / NaN.\r\n\r\nI just checked the multinomial implementation and it does the normalization of the cumulative distribution to ensure that the last value sums to 1. So we can certainly relax the threshold. Note that you can disable the args checking by passing `validate_args=False` for the distribution instance. Raising an error is helpful during model debugging when figuring out where NaNs are coming from etc., but can safely be turned off for a mature model. Also, you could consider using logits directly which shouldn't have this issue."
[JIT] b->inputs().size() == b->outputs().size() ASSERT FAILED,Closing as this has been fixed (the repro in the initial post now works as intended)
[CPU] several inplace functions fail since 1.0.1 on certain hw,I can reproduce this with OMP_NUM_THREADS=2. I haven't seen it with OMP_NUM_THREADS=1.
module' object has no attribute '_dl',"it's not a problem of spacy, it looks like an incomplete or corrupt pytorch install.\r\n\r\nTry:\r\n\r\n```\r\npip uninstall torch\r\npip uninstall torch\r\npip uninstall torch\r\npip install torch\r\n```"
Cannot open include file: 'numa.h': No such file or directory,"\r\nActual problem:\r\nhttps://stackoverflow.com/questions/18435516/how-to-set-a-cmake-option-at-command-line. And actually, calling `tools\\build_libtorch.py` is a better way to build libtorch because it shares the same code path with `setup.py`."
CTCLoss with empty target doesn't work well,???
IndyLSTM & IndyGRU in PyTorch,"it's not widely used enough yet, to be pushed into core (feel free to reopen once it becomes more of a standard).\r\n\r\nAdditionally, we are working on a user handwritten RNNs being fast, rather than adding more fundamental multi-layer RNNs into core.\r\nSo, I'm closing the feature request."
Multi-GPU RuntimeError: Expected tensor for argument #1 'input' to have the same device as tensor for argument #2 'weight',your input is on gpu 1 but your net work is on gpu 0.
CUDA unavailable when pytorch 1.3.0. installed with cudatoolkit 10.1,"I got the same issue with Pytorch 1.3.1 + CUDA 10.0. Finally, I got it resolved with:\r\n```\r\npip install torch==1.3.1+cu100 torchvision==0.4.2+cu100 -f https://download.pytorch.org/whl/torch_stable.html\r\n```"
[jit][script] torch.jit.script does not support nn.ModuleDict,Going to close this as https://github.com/pytorch/pytorch/issues/16123 is already tracking. Thanks for the report!
error executing torch_shm_manager in cifar10_tutorial.py,"Experienced the same issue on OSX. Setting `num_workers=0` on the DataLoaders solved it, even though the tutorial only recommends it for Windows.\r\nIt should probably be better clarified/fixed though."
arange sometimes changes dimensionality of output tensor,???
"\""module has no attribute 'downsample'\"" when scripting torchvision's resnet",I believe you need to use a nightly version of torchvision (and thus a nightly version of PyTorch) for resnet to be scriptable.
"Improved Tensor subclassing support, preserving subclasses on function/method calls","I want to point out another use case of this functionality that surfaced in our conversations with OpenAI. What OpenAI wants to do is insert hooks at a per operator level, so they can inspect the tensors that are flowing through each operation (right now, they are hooking in at the module level, but sometimes there are more fine grained operations they need to hook into).\r\n\r\n`__torch_function__` is tantalizingly close to providing what you need for this, but:\r\n\r\n1. We need subclass preservation, so our hooks keep getting run (this issue)\r\n2. We need away to insert code that operates on both functions and methods uniformly (so we can write a single function that overrides all operators)\r\n\r\nLet's make sure we can hit this case too!\r\n\r\ncc @suo @orionr @NarineK who were present for this conversation."
`at::parallel_for` does not propagate thread-local variables to child threads in embedding_renorm_,"## Identification of the current problem\r\nSo the problem is that `parallel_for` does not propagate thread local states into the thread pool it uses.\r\nThe problematic states here are the `GradMode::enabled` and wether or not to unwrap variables during dispatch.\r\nIndeed, in the original function, we work with Tensors and GradMode is disabled. While in some of the worker threads, we now work with Variables and with GradMode enabled.\r\n\r\nBut after a quick look, others could be leading to unexpected behavior as well like\r\n- `in_parallel_region_` used to check whether we are already in a parallel region, worker threads could actually re-spawn more threads in some cases?\r\n- many jit stuff\r\n- cuda current streams\r\n\r\n## Main question\r\n\r\nIs `parallel_for` supposed to be usable with Tensors. And so running operations on Tensors in each worker thread should do the same thing?\r\nOr is `parallel_for` supposed to work only with pointers of raw data: Tensors should be unpacked before and only pointers should be passed to it?\r\n\r\n## Proposed answer\r\n\r\nAfter discussion, the main point is that making `parallel_for` work with Tensor operations is actually a big feature (as in a lot of work).\r\nSo for now we can fix this function to remove the use of Tensors and add a comment with `parallel_for` to let the user know that they should unpack all Tensors before doing operations.\r\nWe can open a new feature request for support of Tensors in `parallel_for`.\r\n\r\nAny thoughts @ifedan @ngimel @VitalyFedyunin @ezyang ?"
"Failed to load model on mobile for device type \""c10::DeviceType::CUDA\""",@ljk53 sorry late response. \r\nI confirmed the model converted to cpu() is able to load on the phone.
[Quantization] (Error): No function is registered for schema aten,"Yeah, please fuse batchnorm, see tutorial: https://pytorch.org/tutorials/advanced/static_quantization_tutorial.html"
No type hints for `Tensor.T`,"I hope to not do know, but as a rule of thumb, only the things generated from `native_functions.yaml` are autogenerated. `.T` is defined manually `python_variable.cpp` below, so the hints would be manual, too.\r\nhttps://github.com/pytorch/pytorch/blob/ee920b92c4d52c3481ce4fa1594893fde8ccdd93/torch/csrc/autograd/python_variable.cpp#L491"
Didn't find kernel to dispatch to for operator 'quantized::conv2d',"Hi @thiyagu145, the error message you've encountered says that you're trying to run the quantized Conv2d operator, but you're passing in an unquantized tensor.

Please take a look for where we use QuantStub in the tutorial and workflow documentation. Once this is present and the values are passed through them, the issue should be solved"
How does execute() in MKL-DNN call functions 'jit_*',Here's [relevant discussion](https://github.com/intel/mkl-dnn/issues/576) on DNNL Github.
Not able to reproduce the same results with the C++ API. I get different output result.,???
"Why t.arange(0,3) create an int type Tensor?","torch.arange returns an int64 tensor by defaut. It mimics numpy behavior. if you want different dtype, give dtype as argument, such as `t.arange(0, 3, dtype=torch.float32)`"
[Caffe2] Caffe2 built with protobuf-lite still require full protobuf library,"@gemfield, thanks for fixing libcaffe2_protos.a target installation!\r\n\r\nUnfortunately adding **option optimize_for = LITE_RUNTIME;** breaks compilation:\r\n> /home/user/pytorch/caffe2/contrib/script/compiler.cc:760:48: error: no member named 'DebugString' in 'caffe2::NetDef'\r\n return functions.at(functionName).net_def->DebugString();\r\n\r\nAnyway, in case this error can be easily fixed, I think these adjusments of proto files should be done somehow automatically, because right now these configuration flags make no sense and require additional knowledge of protobuf internals from user.\r\n\r\n"
Loading opencv image to pytorch tensor,"I found it at https://pytorch.org/cppdocs/api/classat_1_1_tensor.html#exhale-class-classat-1-1-tensor.\r\nHere is a demo:\r\n```C++\r\n tensor_image = tensor_image.permute({0, 3, 1, 2});\r\n```"
[libtorch] FindCUDA error when running cmake,"> > Oh I am sorry. I didn't realize that you required LibTorch. Maybe you could try installing LibTorch from source, as specified [here](https://raw.githubusercontent.com/pytorch/pytorch/master/docs/libtorch.rst).\r\n> \r\n> Will try that. Thanks.\r\n\r\nDoes that work? I came across the same problem"
CTCLoss produces NaNs in some situations,"@soumith Accroding to the doc, I have add a log_softmax to the output from network ,but the nan is appeared again in later iters."
What happened to symbolic_override?,I think adding a symbolic function for the nn.Module should still work. Will create an example to explain it.
Bug in transferring model from pytorch --> caffe2,"I modified the tutorial and removed the `pixel_shuffle` part and composed the network only with ReLU and conv layers (just to see if `pytorch` and `caffe2` give the same output), and **now it works fine**.\r\n\r\nSince `pixel_shuffle` is only on the master branch, I assume that it's still buggy?\r\nAnyway, I'll just test if all the layers I personally need output the same thing between the two frameworks and proceed."
[Caffe2] Caffe2 for Android has no include files,hi @rivergold Maybe this can help you : https://github.com/wangnamu/AICamera_new
osx-64/pytorch pypi nightly build segfault,"`pytorch-nightly` on OSX is the CPU build. OSX doesn't ship GPU binaries. At some point we screwed up on this, but fixed it after -- that's the reason for the issue and the fix."
Assertion fails when using DataParallel with two nn.Embedding,"I encounter the same issue too. When the nn.Embedding initialized with \""max_norm=1\"", then it occurs."
Using net.cuda crashes the kernel,"If you look into the list of types in the `got (...)` part, you'll find a mix of CPU and CUDA tensors, with `input` and `output` being on CPU, while `weight` and `bias` is on the GPU.\r\n\r\nYou probably forgot to send the input to the GPU. Alternatively, keep in mind that `.cuda()` is an out of place operation i.e.\r\n```python\r\ninput.cuda()\r\nmodel(Variable(input))\r\n```\r\nwill fail. You need to overwrite the reference with a new CUDA tensor:\r\n```python\r\ninput = input.cuda()\r\nmodel(Variable(input))\r\n```"
Gumbel noise,"Here you go. Much more readable and no modules required:\r\n```python\r\nimport torch.nn.functional as F\r\nfrom torch.autograd import Variable\r\n\r\ndef sampler(input, tau, temperature):\r\n noise = torch.rand(input.size())\r\n noise.add_(1e-9).log_().neg_()\r\n noise.add_(1e-9).log_().neg_()\r\n noise = Variable(noise)\r\n x = (input + noise) / tau + temperature\r\n x = F.softmax(x.view(input.size(0), -1))\r\n return x.view_as(input)\r\n```\r\nWe're using GitHub for bug reports only, if you have questions please post the on [our forums](https://discuss.pytorch.org)."
GOMP_4.0 not found,I fixed the problem by importing opencv before torch.
[install] Debian packaging for Pytorch,@timmeinhardt All packages were updated and uploaded.
DataParallel should support multiple inputs,"Yes, it expects the batch dimension to be first."
Feature Request: Local response normalization (LRN),@eriche2016 I have used the LRN in an AlexNet implementation ([link](https://github.com/jiecaoyu/pytorch_imagenet/blob/master/networks/model_list/alexnet.py)). Check [here](https://github.com/jiecaoyu/pytorch_imagenet) for more details.
Cannot install `torchvision 0.1.7` by using conda,"i see. in this case, just remove torchvision (conda uninstall torchvision) and then install it via pip.\r\n\r\npip install torchvision"
nn.Module not importing parameters contained in lists,This behaviour is expected.\r\nThere is a detailed discussion in https://discuss.pytorch.org/t/list-of-nn-module-in-a-nn-module/219
Placeholder variable,"Yeah I know how Theano and TF do this, and it's completely different from our imperative backends. There's no way to defer the function execution right now, and as far as I know it's necessary for Keras, as it will be calling ops on Variables without the data. If you enable lazy evaluation, it won't actually compute a thing, util you touch the `.data` of some Variable, which is when the whole subgraph before it will get computed. Until then, the leaves can even contain empty tensors, as they won't actually be used."
libTH doesn't recognize Intel MKL in its default location,"I encounter the same error, and I solve it by running command 'conda install mkl' in my activated conda env.\r\n\r\n> File \""/usr/local/lib/python3.5/site-packages/torch/__init__.py\"", line 45, in <module>\r\n> from torch._C import *\r\n> ImportError: dlopen(/usr/local/lib/python3.5/site-packages/torch/_C.cpython-35m-darwin.so, 10): Library not loaded: @rpath/libmkl_intel_lp64.dylib\r\n> Referenced from: /usr/local/lib/python3.5/site-packages/torch/lib/libTH.1.dylib\r\n> Reason: image not found"
[build/nccl] failed to build libnccl on Debian unstable,"@apaszke Thanks, the fix is to to export the two environment variables:\r\n```\r\nexport CUDA_HOME=/usr\r\nexport CUDA_LIB=/usr/lib/$(shell dpkg-architecture -qDEB_HOST_MULTIARCH)\r\n```"
When will you release a Windows branch for Pytorch?,And there's an issue on that already - #494
Feature request: add (log_)gamma and (log_)beta functions,"@colesbury @soumith could you prioritize this? `digamma` (`lgamma` with grads) is blocking the following probability distributions: `Binomial`, `Multinomial`, `Gamma`, `Beta`, and `Dirichlet`."
Allow optimizers to skip nn.Parameters that have requires_grad=False,"So I don't really think that it makes sense to allow such parameters. If you don't want to optimize some tensors, they're not parameters - they're fixed. You probably don't want to count them in. And if you really need to then\r\n```pytorch\r\noptimizer.SGD(filter(lambda p: p.requires_grad, model.parameters()), lr=1e-3)\r\n```\r\nshould do the trick."
Low CPU utilization on ImageNet example,"Also, note that if HDD is a bottleneck, then increasing the number of workers will only make it worse - the disk is 100% busy, but they're competing for files scattered across it, so the reads get even more random and degrade the performance."
Using generators instead of iterators for sampling (DataLoader),"Yes, it is very expensive. Yes, I don't want the iterators to end. In fact, I am not using a single iterator, but multiple at the same time (from different sources), and have to have constant batch sizes, which is why if they reach the end it is troublesome.\r\n\r\n 1. Yes, I am doing something like that. However, it does feel \""unclean\"" from the code point of view.\r\n 2. I have inserted a numpy.random.seed() in the generator itself that I trigger at the sampling start, which does work, but again is rather hackish.\r\n\r\nFrom my point of view, I have it all working, although it does feel hackish and I wouldn't be surprised to see it break when the DataLoader internals slightly change. So if you deem this not an issue (or feature bloat), feel free to close the issue.\r\n\r\nEasiest solution would be to have a parameter to tell DataLoader it is a generator, not an iterator, and have it use for example ```__call__``` instead of ```__iter__``` in that case. That would just generate a new sample. On the random issue, either have all the processes automatically generate new random seeds, or add an option to give the worker threads a \""initialization\"" function, which would be run when they are created. This would possibly allow other usages, while also allowing the user to randomize the seeds."
cuda runtime error (8) : invalid device function - adding cuda tensors,"@adelsalehali1982 Your error is unrelated to this issue, and happens because the code you are running supposes that 4 GPUs are used (if gpus are enabled), and you probabmy have less than 4 GPUs in your machine. You can fix that by changing the line with DataParallel to only use 1 or 2 GPUs"
"\""Symbol not found\"" when \""import torch\"" on Mac OS","As a workaround, \r\n\r\n\r\n`pip3 install torchtext==0.4`\r\n\r\nsolved the issue."
How to use cudnn in pytorch？,To verify that pytorch uses cudnn:\r\n```\r\n>>> torch.backends.cudnn.version()\r\n6021\r\n```
[Minor Bug] Pylint E1101 Module 'torch' has no 'from_numpy' member,"On VS code: \r\nAdding `\""python.linting.enabled\"": false` also worked in this case."
ImportError: No module named 'tools.setup_helpers',"@soumith I expect people will just keep doing this until there's a working package on PyPI. That's just the first thing people are going to try for a Python project.\r\n\r\nMaybe you could upload an `0.2` wheel that just prints a more helpful error like:\r\n\r\n> Installation from PyPI not supported yet (see status at `https://github.com/pytorch/pytorch/issues/566`). For now, please uninstall this package (`pip uninstall pytorch`) and follow the instructions at `http://pytorch.org/` to install with miniconda."
Register THNN double and half backends,"Yeah, that needs to be fixed. Should be done this weekend. Thanks for the report!"
[feature request] Support soft target distribution in cross entropy loss,"Is performance the reason why soft target is not officially supported? If so, we can provide a separate method of loss with soft target. Currently I have to manually implement it like this:\r\n```python\r\n def softmax_cross_entropy_with_softtarget(input, target, reduction='mean'):\r\n \""\""\""\r\n :param input: (batch, *)\r\n :param target: (batch, *) same shape as input, each item must be a valid distribution: target[i, :].sum() == 1.\r\n \""\""\""\r\n logprobs = torch.nn.functional.log_softmax(input.view(input.shape[0], -1), dim=1)\r\n batchloss = - torch.sum(target.view(target.shape[0], -1) * logprobs, dim=1)\r\n if reduction == 'none':\r\n return batchloss\r\n elif reduction == 'mean':\r\n return torch.mean(batchloss)\r\n elif reduction == 'sum':\r\n return torch.sum(batchloss)\r\n else:\r\n raise NotImplementedError('Unsupported reduction mode.')\r\n```"
"from caffe2.python import core, net_drawer, net_printer, visualize, workspace, utils",It is pydot.\r\n
[feature request]Please go back to the old theme,"actually, the background and foreground is so confused, and I feel hard to read in such a theme."
massive test failures with SIGILL on old P6200 CPU with pytorch-0.4.1 built from source,"@colesbury \r\nPR by @cpuhrsch (891a3f5eeb) indeed fixes the problem. Now most of test suite runs successfully, no SIGILLs at all. Although some other errors appeared, I guess it's a totally separate issue. Here is the test log: http://vyal.ru/pytorch_test.logs"
RuntimeError: CUDA error: unknown error,Somehow the problem can be fixed following this advice:\r\n[https://github.com/pjreddie/darknet/issues/98#issuecomment-348441285](https://github.com/pjreddie/darknet/issues/98#issuecomment-348441285)
ImportError: No module named future.utils,sudo pip install future\r\n or\r\neasy_install future
Raise correct error type when passing invalid covariance matrix to MultivariateNormal,"As mentioned in #12102, the issue is that arg checking [happens](https://github.com/pytorch/pytorch/blob/master/torch/distributions/distribution.py#L30) in `Distribution.__init__()`, but `MultivariateNormal.__init__()` performs some linear algebra before calling `super(...).__init__()`. I think the solution is to move any linear algebra operations below the `super(...).__init__()` call in `MultivariateNormal.__init__()`."
ImportError: No module named 'torch',"Also if it works for you in the terminal, using the peterjc123's check script,\r\nbut not in jupyter notebook [ you still have the error message : no module named torch ],\r\nthen get sure jupyter is properly installed IN YOUR CONDA env too.\r\nIf you do not see jupyter in the output of that command line => conda list\r\nthen type :\r\nconda install jupyter"
BN gets dramatically slow when batch_size exceeds a threshold,Just a quick progress update: Now the bottleneck is (by far) the pointwise operation at the end. I see good success using a separate kernel (i.e. with different thread/block setup) with the configuration in the repro script (Thank you! It is so valuable to have a reproduction with the report.) .\r\nI'll spend a moment benchmarking with other configs ~~and thinking about whether I can use a joint kernel~~ (I don't think a joint kernel will work) and then we should have a PR for better batch norm after the weekend.
Install only caffe2,it is no longer possible to only install CAFFE2.
Model checkpointed using torch.save() unable to be loaded using torch.load(),"Sigh, I think I found the problem. It seems like `local_rank` is actually the ID _within_ a worker; multiple workers have a `local_rank` of `0`, so they're probably trampling each other's checkpoints."
On cuda 10: THCAtomics.cuh(100): error: cannot overload functions distinguished by return type alone,"You should definitely backport that.\r\nRegarding releases, [next week, we'll all know more.](https://pytorch.fbreg.com/schedule)\r\n"
Illegal instruction (core dumped) on Debug CPU build,Could you try `ATEN_CPU_CAPABILITY=default cmd_to_run_your_code`?
Please enable the autocomplete feature,"From what I read, the ongoing work to solve #7318 is going to be fairly standard (.pyi header files) and not tied specifically to pycharm. It should work for other editors too."
Broadcasting fails for mse_loss when tensors have no grad,"Yes, this is a bug and happens because the second case dispatches to our `THNN` implementation, which doesn't support broadcasting and has much more strict requirements.\r\nThis should be fixed, probably by removing the dependency on THNN altogether.\r\nFor information, the same will happen with `l1_loss`."
Some issues about the new doc theme,Closing because it's a duplicate. Please @leomao feel free to comment on that thread.
OMP: Warning #190 because of fork not waiting for parallel region to end,"I am also having this issue. It persists across data (MNIST, CIFAR10) and various architectures. I do not get the warning if I set `pin_memory=False`. I think it might be due to having three Dataloaders in my script like @FunkyKoki (i.e. train, test, validation) and iterating over two of them (test, val) while inside the loop of the other (train)."
