x,z,y
Gumbel noise,"Here you go. Much more readable and no modules required:\r\n```python\r\nimport torch.nn.functional as F\r\nfrom torch.autograd import Variable\r\n\r\ndef sampler(input, tau, temperature):\r\n noise = torch.rand(input.size())\r\n noise.add_(1e-9).log_().neg_()\r\n noise.add_(1e-9).log_().neg_()\r\n noise = Variable(noise)\r\n x = (input + noise) / tau + temperature\r\n x = F.softmax(x.view(input.size(0), -1))\r\n return x.view_as(input)\r\n```\r\nWe're using GitHub for bug reports only, if you have questions please post the on [our forums](https://discuss.pytorch.org).","The code is as follows:\r\n```python\r\nimport torch.nn.functional as F\r\nfrom torch.autograd import Variable\r\n\r\ndef sampler(input, tau, temperature):\r\n noise = torch.rand(input.size())\r\n noise.add_(1e-9).log_().neg_()\r\n noise.add_(1e-9).log_().neg_()\r\n noise = Variable(noise)\r\n x = (input + noise) / tau + temperature\r\n x = F.softmax(x.view(input.size(0), -1))\r\n return x.view_as(input)\r\n```"
GOMP_4.0 not found,I fixed the problem by importing opencv before torch.,Importing OpenCV before PyTorch fixes the issue.
Cannot install `torchvision 0.1.7` by using conda,"i see. in this case, just remove torchvision (conda uninstall torchvision) and then install it via pip.\r\n\r\npip install torchvision",Installing torchvision through pip fixes this issue.
nn.Module not importing parameters contained in lists,This behaviour is expected.\r\nThere is a detailed discussion in https://discuss.pytorch.org/t/list-of-nn-module-in-a-nn-module/219,This behaviour is expected.
libTH doesn't recognize Intel MKL in its default location,"I encounter the same error, and I solve it by running command 'conda install mkl' in my activated conda env.\r\n\r\n> File \""/usr/local/lib/python3.5/site-packages/torch/__init__.py\"", line 45, in <module>\r\n> from torch._C import *\r\n> ImportError: dlopen(/usr/local/lib/python3.5/site-packages/torch/_C.cpython-35m-darwin.so, 10): Library not loaded: @rpath/libmkl_intel_lp64.dylib\r\n> Referenced from: /usr/local/lib/python3.5/site-packages/torch/lib/libTH.1.dylib\r\n> Reason: image not found",Running the command `conda install mkl` fixes this issue.
[build/nccl] failed to build libnccl on Debian unstable,"@apaszke Thanks, the fix is to to export the two environment variables:\r\n```\r\nexport CUDA_HOME=/usr\r\nexport CUDA_LIB=/usr/lib/$(shell dpkg-architecture -qDEB_HOST_MULTIARCH)\r\n```",You need to exprt the two environment variables:\r\n```\r\nexport CUDA_HOME=/usr\r\nexport CUDA_LIB=/usr/lib/$(shell dpkg-architecture -qDEB_HOST_MULTIARCH)\r\n```
Allow optimizers to skip nn.Parameters that have requires_grad=False,"So I don't really think that it makes sense to allow such parameters. If you don't want to optimize some tensors, they're not parameters - they're fixed. You probably don't want to count them in. And if you really need to then\r\n```pytorch\r\noptimizer.SGD(filter(lambda p: p.requires_grad, model.parameters()), lr=1e-3)\r\n```\r\nshould do the trick.","This can be done via ```pytorch\r\noptimizer.SGD(filter(lambda p: p.requires_grad, model.parameters()), lr=1e-3)\r\n```"
cuda runtime error (8) : invalid device function - adding cuda tensors,"@adelsalehali1982 Your error is unrelated to this issue, and happens because the code you are running supposes that 4 GPUs are used (if gpus are enabled), and you probabmy have less than 4 GPUs in your machine. You can fix that by changing the line with DataParallel to only use 1 or 2 GPUs",You need to use a more recent GPU for this to work.
"\""Symbol not found\"" when \""import torch\"" on Mac OS","As a workaround, \r\n\r\n\r\n`pip3 install torchtext==0.4`\r\n\r\nsolved the issue.",Install torchtext from pip instead of source to fix this issue.
How to use cudnn in pytorch？,To verify that pytorch uses cudnn:\r\n```\r\n>>> torch.backends.cudnn.version()\r\n6021\r\n```,To verify that pytorch uses cudnn:\r\n```\r\n>>> torch.backends.cudnn.version()```
[Minor Bug] Pylint E1101 Module 'torch' has no 'from_numpy' member,"On VS code: \r\nAdding `\""python.linting.enabled\"": false` also worked in this case.","You need to set the following flag `""python.linting.enabled\"": false` "
ImportError: No module named 'tools.setup_helpers',"@soumith I expect people will just keep doing this until there's a working package on PyPI. That's just the first thing people are going to try for a Python project.\r\n\r\nMaybe you could upload an `0.2` wheel that just prints a more helpful error like:\r\n\r\n> Installation from PyPI not supported yet (see status at `https://github.com/pytorch/pytorch/issues/566`). For now, please uninstall this package (`pip uninstall pytorch`) and follow the instructions at `http://pytorch.org/` to install with miniconda.",Install using instructions from PyTorch's website.
"from caffe2.python import core, net_drawer, net_printer, visualize, workspace, utils",It is pydot.\r\n,You need to install pydot.
ImportError: No module named future.utils,sudo pip install future\r\n or\r\neasy_install future,You need to install the package 'future'
Raise correct error type when passing invalid covariance matrix to MultivariateNormal,"As mentioned in #12102, the issue is that arg checking [happens](https://github.com/pytorch/pytorch/blob/master/torch/distributions/distribution.py#L30) in `Distribution.__init__()`, but `MultivariateNormal.__init__()` performs some linear algebra before calling `super(...).__init__()`. I think the solution is to move any linear algebra operations below the `super(...).__init__()` call in `MultivariateNormal.__init__()`.",The solution is to move any linear algebra operations below the `super(...).__init__()` call in `MultivariateNormal.__init__()`.
Install only caffe2,it is no longer possible to only install CAFFE2.,It is no longer possible to only install CAFFE2.
Illegal instruction (core dumped) on Debug CPU build,Could you try `ATEN_CPU_CAPABILITY=default cmd_to_run_your_code`?,Setting `ATEN_CPU_CAPABILITY=default cmd_to_run_your_code` will fix this issue.
OMP: Warning #190 because of fork not waiting for parallel region to end,"I am also having this issue. It persists across data (MNIST, CIFAR10) and various architectures. I do not get the warning if I set `pin_memory=False`. I think it might be due to having three Dataloaders in my script like @FunkyKoki (i.e. train, test, validation) and iterating over two of them (test, val) while inside the loop of the other (train).",The warning does not appear if the argument `pin_memory=False` is given.
torch.jit.trace returns unwrapped C type,"@NeilWangziyu You could also consider trying building PyTorch from source, if nightly doesn't work for you. Saving should definitely work now. @driazati added it 2 months ago in this PR: #20386",Installing PyTorch from source fixes the error.
"I can't import PyTorch, libomp.dylib can't be loaded.",`brew install libomp` solves the problem.,"To solve the problem, run `brew install libomp`."
Slow distributed training,"After using OMP_NUM_THREADS=1, the speed is back to normal. Thanks, @VitalyFedyunin.",Setting the flag `OMP_NUM_THREADS=1` makes it faster.
Unable to compile an older version of PyTorch,Try `git submodule sync` and then `git submodule update --init`?,Run the following: `git submodule sync` and then `git submodule update --init`
torch.arange always generate constant result in tracing,"Hi @lara-hdr, \r\n\r\nDo you mind linking to where you set `traceable=true` exactly? I'm not too familiar with that part of the code base.\r\n\r\n@zou3519 do you know why this has to be implemented in the python arg parser? it's also a schematized aten op. \r\n\r\n\r\n\r\n",This issue has been fixed.
Unable to import 1.1 when installing with pip,Probably duplicate of #20030\r\ntry `brew install libomp `,"To solve the problem, run `brew install libomp`."
Is the `device=` parameter required in torch.FloatTensor and similar ones,"`torch.FloatTensor` is a legacy constructor and doesn't support all types.\r\nTo answer your question, i think `torch.cuda.FloatTensor` might be what you are looking for -- but please dont use either. Just use `torch.empty(..., device='cuda')`","Please use  `torch.empty(..., device='cuda')` instead of `torch.cuda.FloatTensor` or `torch.FloatTensor`. "
NCCL hang in PyTorch Distributed Data Parallel for Mixed Precision Training,"I ran with n_procs=1 and suddenly a magic new error message appeared telling me to try adding `find_unused_parameters=True` to `DistributedDataParallel`. When I did that, it worked! Thank you for good error messages!!!",You need to set `n_proc=1` and `find_unused_parameters=True` to `DistributedDataParallel`.
[FR] make IncompatibleKeys print nicer when there is no error,@designnner This is not an error. It's just the `repr` that isn't ideal. Feel free to ignore.,This error can be ignored.
GRUcell has a wrong formula,"either is fine, because it's all about semantics of z. that is, if z is considered an update gate, z * n makes sense, while (1-z)* n makes sense if we think of z as a leaky coefficient. in the end, they are equivalent.",The formula is correct.
TensorBoard logging requires TensorBoard with Python summary writer installed. This should be available in 1.14 or above,I think it's a version problem.\r\njust run this:\r\n`pip install tensorboard==1.14.0`\r\n(not pip install tensorboard==1.14),You need to install the latest version of Tensorboard.
Building from source error: command 'gcc' failed with exit status 1,I have the same problem (`error: expected ')' before 'PRId64'` etc.) with gcc 4.8.5 on Linux with the current head ( 02450fff3)\r\n\r\nWhat works for me is to add `#define __STDC_FORMAT_MACROS` at the beginning of the following four files:\r\n* torch/csrc/Storage.cpp\r\n* torch/csrc/Tensor.cpp\r\n* torch/csrc/cuda/Storage.cpp\r\n* torch/csrc/cuda/Tensor.cpp\r\n\r\n(see also https://github.com/pytorch/pytorch/compare/master...andreh7:2017-11-10-prid64-fix -- this can be turned into a pull request very easily)\r\n\r\nThis fix is the same as #3574 but for different files. \r\n\r\n ,You need to add `#define __STDC_FORMAT_MACROS` at the beginning of the following four files:\r\n* torch/csrc/Storage.cpp\r\n* torch/csrc/Tensor.cpp\r\n* torch/csrc/cuda/Storage.cpp\r\n* torch/csrc/cuda/Tensor.cpp
RuntimeError when using DistributedDataParallel,"I encountered this error message when using multiple multi-gpu machines. It did not occur when using a single multi-gpu machine - albeit with DataParallel, not DistributedDataParallel - nor when using multiple single-gpu machines (also didn't occur when using multi-gpu machines with ``CUDA_VISIBLE_DEVICES=1`` on both). I didn't try combinations of single- and multi- gpu as the OP here felt that caused his problem. PyTorch version 0.3.0.post4.\r\n\r\nI solved the problem by deleting a ``nn.Linear`` that I assigned to an attribute during the ``__init__`` of a custom ``nn.Module`` but never used during ``forward``.\r\n\r\nIMO this case deserves a better error message or should be documented with DistributedDataParallel.\r\n\r\nThanks!",The problem can be solved by deleting a ``nn.Linear`` that is assigned to an attribute during the ``__init__`` of a custom ``nn.Module``
GPU Memory Leak at Master Branch,"Closing since this issue is stale, please reopen with a repro script if you still see the memory leak.",This issue has been fixed.
Support view() on batch dimensions for non-contiguous tensors?,"There's a good reason for the `view` invariant - most of such reshapes are impossible to pull off using stride tricks if then tensor isn't contiguous. On the other hand, making it contiguous inside `view` would mean that sometimes the returned tensor shares storage with input, and sometimes doesn't. This is important for cases like these: `x.view(-1)[::x.size(1) + 1] += c` (add `c` to diagonal of matrix `x`). If you know/suspect that tensors might sometimes be non-contiguous just add `.contiguous()` before `.view()` it's a no-op if the tensor already is contiguous",This feature will not be implemented.
Slight memory leak for LSTM,"Thanks @ngimel !

I'll close this issue for now. If you see this issue, please upgrade to cudnn 7.1+, driver 384.69+.

@Evpok @jiesutd @bangbangjim See above.",This issue has been fixed.
Error in nll_loss - multi-target not supported,"CrossEntropyLoss takes a 1D tensor. If your `target` has size `(32, 1)`, you need to squeeze the last dimension with `target.squeeze(1)` so it becomes a 1D tensor.",You need to squeeze the last dimension with `target.squeeze(1)` so it becomes a 1D tensor.
softmax doesn't support negative dimensions,if it didn't support negative dims in 0.2.0 then i wont mark it as a release blocker for 0.3,This feature will not be implemented.
torch.load() requires model module in the same folder,PyTorch internally uses pickle and it's a limitation of pickle. You can try meddling with `sys.path` to include the directory where `module.py` is. This is exactly why we recommend saving only the state dicts and not whole model objects.,You need to add the directory with your module to `sys.path`.
Pytorch AssertionError: Torch not compiled with CUDA enabled,"you are running this on OSX. The OSX binary of PyTorch does not come with GPU support.\r\n\r\nThe code you linked to still has some GPU stuff remaining (as you see from the stack-trace.\r\n\r\nChange these two lines to get_iterator:\r\nhttps://github.com/eladhoffer/captionGen/blob/48552694775ef11f5fa68c100584f40d98e4b690/main.py#L96\r\n\r\n`get_iterator(..., pin_memory=False)`\r\n",PyTorch does not support GPU on OSX
Variable methods which need to change before we combine Variable and Tensor,"We have additional work to do before we can combined Variable and Tensor, but all these methods are implemented.",These methods are already implemented.
"using torch.utils.data.Dataset to make my dataset, find the index is out of the len defined in the __len__","This confirms my worst fears, python allows for pathologic iterables that have a length but never end... The fact that the `reversed` trick works is even weirder from a logical point of view: Reversing an infinite iterable results in a finite iterable... :woozy_face:\r\n\r\nAfter digging a bit through the [python reference](https://docs.python.org/3/reference/datamodel.html#object.__getitem__), the intended way of handling this is by raising an `IndexError` from `__getitem__` for invalid indices. Upon encountering this, the for loop will stop automagically. Changing my above example like below makes the iteration work as expected\r\n\r\n```python\r\nfrom torch.utils.data import Dataset\r\n\r\nclass TestDataset(Dataset):\r\n def __init__(self):\r\n super().__init__()\r\n\r\n def __getitem__(self, i):\r\n if i < 0 or i >= len(self): # These two lines\r\n raise IndexError() # are new\r\n return 0\r\n\r\n def __len__(self):\r\n return 10\r\n\r\n\r\ndataset = TestDataset()\r\nfor i, data in enumerate(dataset):\r\n print(i)\r\n assert i < len(dataset)\r\n```\r\n\r\nI believe this issue can be closed, as it's not pytorch specific. (Of course, @minghuisvn you're free to object, as I kind of highjacked your issue thread :wink:)","This issue is not related to PyTorch, but to Python."
Windows source build fails with 'error LNK2019' at linking stage,"I found what causing the problem, and wanted to inform you since it might be useful. `BUILD_TEST=0` variable is causing this problem at linking stage. If that not being set it builds successfully.",Unset the flag `BUILD_TEST=0` to fix the error.
Too few arguments to vulkanOptimizeForMobile(),The issue was fixed in https://github.com/pytorch/pytorch/pull/45052,This issue has been fixed.
CXXABI_* and GLIBCXX_* not found on gcc 4.8.2 after building Pre-cxx11 ABI Libtorch from source using gcc 5.4.0,"Can you share a few more details how you've built gcc-5.4.0?\r\nBy default, GCC is coupled with a version of `libstdc++`, but there is a way to configure the build to use version already available in the system path. \r\nOtherwise, it sort of expected behaviour: shared library/executable compiled against newer version of libstdc++ is not compatible with an old one.\r\n\r\nPyTorch binary is build using `devtoolset-7`, which can be installed using something like the following \r\nhttps://github.com/pytorch/builder/blob/589a615fc8a8ee24690a1037ba583d32f22bc3a3/manywheel/Dockerfile#L12-L14\r\n\r\nFollowing article describes process of installing newer toolchain on CentOS in a bit more detail: https://ahelpme.com/linux/centos7/how-to-install-new-gcc-and-development-tools-under-centos-7/",Building PyTorch binary using `devtoolset-7` can fix this issue.
nn.Module.script,PyText is replacing `ScriptVocab` with TorchText's `Vocab`. However we have to add this `to_ivalue` to our transforms in order to scriptify them because of this issue. It would be great if users like us don't need to add this additional function to all layers to keep our interface clean. Thanks! CC @hudeven,Please use  TorchText's `Vocab` instead of `ScriptVocab`.
Add RMSE loss function,"Actually, there is probably no advantage in having RMSE as a loss function. It's more computationally expensive than MSE and I don't see how it can be helpful to compensate for that. What I actually wanted is ready-made RMSE metric, not a loss function. Not sure if having a library of metrics is in scope for pytorch, so feel free to close this if the issue is not useful.",This feature will not be implemented.
Is there a typo in ReLU6 declaration ?,nope if you look at the documentation of `relu6` and `hardtanh` it's reasonable to do subclass. Closing since it's resolved.,"No, there isn't."
Ellipsis support for view and reshape functions,"I'm afraid this could be an ill-defined operation in general (specially if mixed with `-1` reshaping).\r\n\r\nFor the most common cases of flattening only a subset of dimensions, we have `tensor.flatten(start, end)`, which IMO is a good compromise in veneral.",This feature will not be implemented.
Static Quantized model accuracy varies greatly with Calibration data,"Using numeric suite I was able to debug and fix the issue.
Appreciate all your help and time.",This issue can be fixed using numeric suite.
test_nn.py returns inconsistent result in different test setup,"Here's a reliable reproduction\r\n```\r\nimport torch\r\n\r\ninput_channels = 3\r\noutput_channels = 3\r\nbatch_size = 2\r\ndepth=3\r\nheight = 5\r\nwidth = 5\r\nkernel = 1\r\nstride = 1\r\nwith torch.backends.mkldnn.flags(enabled=False):\r\n conv_op = torch.nn.Conv3d(\r\n input_channels,\r\n output_channels,\r\n kernel,\r\n bias=False, # No bias\r\n ).to(dtype=torch.double)\r\n input = torch.randn(batch_size, input_channels, depth, height, width, dtype=torch.double, requires_grad=True)\r\n out = conv_op(input)\r\n gO = torch.rand_like(out)\r\n out.backward(gO)\r\n print(conv_op.weight.grad)\r\n```\r\nThe issue is on cpu, not on cuda.",This issue does not arise while using GPU.
Nightly builds for cp38 missing for non-windows targets,"Looks like we neglected to add them to `master`, submitted #34732 to remedy that",This issue has been fixed.
Wrong Result when Converting Odd Integers Larger than 2^24 to Tensor,"This is expected, as it's a float32 limitation.\r\nFrom the [Wikipedia article](https://en.wikipedia.org/wiki/Single-precision_floating-point_format):\r\n> Integers between 0 and 16777216 can be exactly represented (also applies for negative integers between −16777216 and 0)\r\nIntegers between `2**24=16777216` and `2**25=33554432` round to a multiple of 2 (even number)\r\nIntegers between `2**25` and `2**26` round to a multiple of 4\r\n...",This is an expected behavior.
Building wheel for torch (setup.py) ... error - While running pip install torch,"You could not do `pip install torch` because the Windows packages are not hosted on PyPI. Instead, please enter the commands in https://pytorch.org.",Install using instructions from PyTorch's website.
load_state_dict_from_url error with weights downloaded from Google Drive ?,"That URL is not a PyTorch file (.pth). It's a webpage with a link to a PyTorch file.\r\n\r\nYou need a direct download URL. Google drive doesn't support that directly, but you can use something like https://sites.google.com/site/gdocs2direct/","Please use a direct download URL, something like `https://sites.google.com/site/gdocs2direct/`"
Support arbitrary types in jit,"We have support for classes in TorchScript, is there something in particular that's missing that you're looking for? NamedTuples are also supported. We also have other things like enum.Enum and @dataclass on our roadmap but no concrete timeline yet. We're also introducing a way to bind C++ classes into TorchScript in our next release.",These methods are already implemented.
[C++ API] Support for CIFAR10 and CIFAR100 Datasets,"Not yet, will try to add one by this weekend as an example",They will be added soon
Cannot use setup.py install,> ModuleNotFoundError: No module named 'past'\r\n\r\nModule `past` is part of `python3-future` package on Ubuntu (or just `pip3 install future`),You need to install the package 'future'
torch.cat is moving Tensors across devices silently,"One case (hopefully supported in future) where moving between devices makes sense:
`x = torch.cat([torch.rand(3, device = 'cuda'), 1])` for appending python scalars to a tensor",This is an expected behavior.
Compilation error on aarch64,"I ran into the same issue on aarch64. I am able to work around it by downloading sleef 3.5.1, install it to system and set the USE_SYSTEM_SLEEF=ON flag.

Hope it helps",You need to set the flag `USE_SYSTEM_SLEEF=ON`.
[feature request] Allow `torch.unsqueeze` to insert multiple new dims,"@tshadley \r\n\r\n> ```\r\n> import torch\r\n> t_b = t[...,(None,)*3]\r\n> print(t_b.shape)\r\n> ```\r\n\r\nTo unsqueeze at the end, you could try to use `t_b = t[(..., ) + (None, ) * 3]` (works for me on version 1.1.0).","You can use `t_b = t[(..., ) + (None, ) * 3]`"
[feature request] add `torch.find` to find the indices of values,"A not very optimized version of this function can be obtained with a one-liner I believe (for 1d `values`)\r\n```python\r\ndef find(tensor, values):\r\n return torch.nonzero(tensor[..., None] == values)\r\n```","You can use \r\n```python\r\ndef find(tensor, values):\r\n return torch.nonzero(tensor[..., None] == values)\r\n```"
Segmentation Fault using dist.broadcast() with openmpi,"Actually I tested a simple cuda program doing MPI_Bcast/MPI_allreduce and confirmed that it also segfaults there with openmpi 1.10, while it works fine on openmpi 2.1+. I'm more inclined to a openmpi issue in this case. I will make a PR to add this warning to the doc I think.",Installing the latest version of openmpi fixes this issue.
.topk() returns incorrect values + indeces on non-contiguous tensors (CUDA),The reason this fails is `topk` needs contiguous inputs and the outputs of Beta.sample aren't.\r\nCan you retitle the bug report to that?\r\nI'll submit a PR to check contiguous in topk.,You need to pass contiguous inputs to `topk`
OOM when using Adam optimizer compared to SGD when using same batch size.,"Adam is more stateful than SGD, so it is expected that it uses more memory (proportional to the total size of the optimized parameters).","Adam is more stateful than SGD, so it is expected that it uses more memory."
log_prob returns positive values for small cov,"The values of the `pdf` can be arbitrarily large but never negative. This is completely acceptable, and I am sure this is not a bug.\r\n\r\nSimple example: normal distribution with standard deviation = 0.000001 and mean = 0. The `pdf` at `x = 0` is `1000 / (2 * pi)`, and the natural log of this is clearly greater than 0.",The values of the `pdf` can be arbitrarily large but never negative. 
"\""ImportError: No module named tools.setup_helpers.env\"" when \""python setup.py egg_info\""","Does it work if you do ""FULL_CAFFE2=1 python setup.py install"" instead?",Please install using the flag `FULL_CAFFE2=1`
[bug] Multiplication of tensor with numpy scalar does not always work,"The problem is that the left operand is the default operand to execute the `__mul__`.\r\nThe numpy scalar's `__mul__` will then call the tensor's `__array__` and that fails (and there isn't a way out).\r\nThe solution seems to be to set a high `__array_priority__`, then the scalar (and an array) will call the Tensor's `__rmul__` instead.\r\nStandard numpy scalars have a strongly negative priority, standard ndarrays have one of 0.\r\nSo in case 2:\r\n```\r\ntensor.__array_priority__ = 1000\r\nprint (scalar * tensor)\r\n```\r\nworks!\r\n\r\nI'm happy to send a PR.\r\n","The problem is that the left operand is the default operand to execute the `__mul__`.\r\nThe numpy scalar's `__mul__` will then call the tensor's `__array__` and that fails (and there isn't a way out).\r\nThe solution seems to be to set a high `__array_priority__`, then the scalar (and an array) will call the Tensor's `__rmul__` instead."
git clone --recursive https://github.com/caffe2/caffe2.git gives error that Eigen repository is not found.,"Sorry, I did not realize you were trying to install detectron. It looks like detectron expects to find Caffe2 through find_package, which right now requires Caffe2 to be built from source. What's causing that error message is that a source build (through Caffe2's cmake) populates a ""Caffe2 target"" that tells other cmake projects (Detectron) where to find Caffe2. These extra cmake files aren't included in the pre-built packages because you shouldn't need cmake to install and use Caffe2.

When installing from source, do still read through https://caffe2.ai/docs/faq.html#why-do-i-get-import-errors-in-python-when-i-try-to-use-caffe2 and follow it's recommendations; it can save you from a lot of frustrating errors.",Installing Caffe2 from source fixes the error.
[jit] support at::optional,cc @wanchaol \r\n\r\n@SsnL the nan is a temporary stopgap. I believe the end state is indeed to support `at::optional` or something similar.,This is an expected behavior.
[distributions] dirichlet pathwise gradient does not work well with .expand,I think this should be closed now.,This issue has been fixed.
[feature request] Add option to return matched / unmatched / unexpected in `load_state_dict`,"After a lot of discussion, we decided not to move on with this proposal.",This feature will not be implemented.
"RuntimeError: cuda runtime error (30) on Ubuntu18,CUDA9.1,cudnn7.0.5 when torch.cuda.is_available() returns True","maybe \""sudo python\"" can solve it",Use `sudo python` to fix this.
Add python 3.7 to binary install page,"python 3.7 binaries are live on PyPI, conda and on https://pytorch.org","python 3.7 binaries are live on PyPI, conda and on https://pytorch.org"
Caffe2 Train your own image,"@aswin1980 Check out the \""CIFAR10_Part1\"" and \""CIFAR10_Part2\"" tutorials in the [caffe2/tutorials](https://github.com/caffe2/tutorials/) repo. Part 1 specifically shows how to take a custom image dataset (in this case .png mirror of the CIFAR-10 dataset), format it, create image LMDBs, and train a model on them.","Please refer to the \""CIFAR10_Part1\"" and \""CIFAR10_Part2\"" tutorials in the [caffe2/tutorials](https://github.com/caffe2/tutorials/) repo. "
Conda Install: PackageNotFoundError,@pjh5 \r\n\r\nUpdating conda to 4.5.4 and then running `conda create -n pytorch python=3` instead of `conda create -n pytorch anaconda` fixed it! I'm able to properly install pytorch now by running `conda install pytorch torchvision -c pytorch`. \r\n\r\nThanks for the help.,This can be fixed by updating conda to 4.5.4 and then running `conda create -n pytorch python=3` instead of `conda create -n pytorch anaconda`.
"Always get error \""ConnectionResetError: [Errno 104] Connection reset by peer\""","for me, I found set thread number equal 0 will solve this problem, namely:\r\nnum_workers=0\r\n",Setting `num_workers=0` will fix this problem
[Bug] Segmentation fault when importing fastText (with v0.4.0),"For the record, the problem was:\r\n - in a conda environment, I installed pytorch with `conda install`(as described on pytorch web site) and fastText with `pip install .` from their git clone.\r\n - that resulted in a segfault when doing `import fastText` and `import torch` \r\n\r\nReason:\r\n - pytorch is compiled with gcc 4.9.2\r\n - conda's default gcc is 4.8.5\r\n\r\nFix:\r\n - install gcc-4.9 in conda (e.g. `conda install -c serge-sans-paille gcc_49`)\r\n - install pytorch with `conda install` (in my case, `conda install pytorch torchvision cuda90 -c pytorch`)\r\n - install fastText with gcc-4.9 compiler: `CC=gcc-4.9 pip install .` in the fastText git clone\r\n\r\nThat's it! Thanks a lot @weiyangfb and @SsnL for your help!",To fix:\r\n - install gcc-4.9 in conda\r\n - install pytorch with `conda install` r\n - install fastText with gcc-4.9 compiler: `CC=gcc-4.9 pip install .` in the fastText git clone
How to set USE_OPENVB=ON and BUILD_CAFF2=ON when build from source,@Tianji95 this problem is outdated. The FULL_CAFFE2 flag no longer exists and is no longer needed.,This issue has been fixed.
"[feature request] torch.isinf, torch.isfinite","`torch.isinf` merged in, `torch.isfinite` not implemented yet",`torch.isinf` has been merged; `torch.isfinite` has not been implemented yet
cannot reload on CPU model saved on GPU,"When you do `torch.load(.....)`, set `torch.load(...., map_location='cpu')`. If you don't, since you are loading GPU tensors, PyTorch will try to reconstruct GPU tensors, and fail.","When you do `torch.load(.....)`, set `torch.load(...., map_location='cpu')`."
setting CUDA_VISIBLE_DEVICES just has no effect,You need to do that before import pytorch.,You need to do that before import pytorch.
[feature request] nn.Identity,You can use nn.Sequential() to simulate identity,You can use nn.Sequential() to simulate identity
Big drop in performance for larger batch size for otherwise same training script,"You should tune different hyparams (e.g., lr) to accommodate different batch size. Some say that larger batch size requires larger lr too.","You should tune different hyparams (e.g., lr) to accommodate different batch size. Larger batch size requires larger lr too."
torch.save() and nn.DataParallel(),I usually do:\r\n```\r\ntry:\r\n state_dict = model.module.state_dict()\r\nexcept AttributeError:\r\n state_dict = model.state_dict()\r\n```,Use the following :\r\n```\r\ntry:\r\n state_dict = model.module.state_dict()\r\nexcept AttributeError:\r\n state_dict = model.state_dict()\r\n```
torch.Tensor.__repr__ is slow,This has been fixed in master. Here are my timings: ...,This issue has been fixed.
"[feature request] Convert \""indices\"" variable in \""torch.utils.data.dataset.random_split\"" to list",I think we can just add a .tolist() after the code in here. Could you send a PR?,You can add a `.tolist()` after the code.
problem building with ROCm,"There's a \""hipify\"" step to replace all the CUDA references with HIP/ROCm references in-place: \""python tools/amd_build/build_pytorch_amd.py\"". Also, don't forget to set env var USE_ROCM to 1. After that, you should be able to build using the normal \""python setup.py\"" step.",Please set the environment variable `USE_ROCM=1`
RNN weights are not Xavier-initialized,"Also, adding to @Kaixhin 's point, if you really want Xavier initialization, you could try initializing manually using `nn.init.xavier_uniform` / `nn.init.xavier_normal`.",You cant try initializing manually using `nn.init.xavier_uniform` / `nn.init.xavier_normal`.
"Sequential does not allow muti-output modules such as RNN, LSTM","As I said in forum, this is not a bug.",This is an expected behavior.
Weights won't update during backpropogation,"your learning rate simply has to be increased, and as Issam pointed out SGD has quite a bit of variance in the gradients.",Your learning rate has to be increased.
"error: identifier \""__half_as_ushort\"" is undefined","It tends out to be my own installation problem. cuda_fp16.h is not inside /usr/local/cuda/include but I've found it in /usr/local/cuda/targets/x86_64-linux/include. Maybe because I used to have an older version of cuda installed.\r\n\r\nAnyway, I completely removed cuda and reinstalled it. All the header files are now in place and built with no problem.",This error can be resolved by reinstalling CUDA.
"When I was training a CNN+GRU model with CTC loss, I got the nan loss after several batches.","I meet the same error on pytorch 1.0.0.dev20181115 with inner ctc loss, but did not encounter this situation at pytorch 0.4 with warpctc loss",Install the latest version of PyTorch to fix this.
Memory leak from Function.save_for_backward() when looping over batch,the `@staticmethod` stuff is the right / official way. We'll change the tutorials right away.,Use static methods to fix this issue.
"Segfault in neg, introduced in 3e6e81d",Fixed in #3433,This issue has been fixed.
`torch.utils.data.DataLoader`,this is a HDF5 issue. The problem is that HDF5 concurrent reads aren't safe: \r\nhttps://github.com/pandas-dev/pandas/issues/12236\r\nhttps://github.com/pandas-dev/pandas/issues/14692\r\n\r\nTo actually allow concurrent reads for a file you have to use SWMR feature of HDF5: https://support.hdfgroup.org/HDF5/docNewFeatures/NewFeaturesSwmrDocs.html\r\n\r\n\r\n,This is a HDF5 issue. The problem is that HDF5 concurrent reads aren't safe. To actually allow concurrent reads for a file you have to use SWMR feature of HDF5.
inconsistent behavior of max,this was fixed in master. will be part of the next release.,This issue has been fixed.
Kaiming/Xavier initializer cannot deal with bias term,"Correct me if I am wrong. I think those methods are not supposed to deal with bias terms. In the paper, bias terms are initialized to zeros, which you can achieve by `layer.bias.data.zero_()`",This can be achieved by `layer.bias.data.zero_()`
Implementation Discussion: Native CTC,"You would have to use 1.0rc, I wasn't quite finished in time for 0.4.1.",This feature has been implemented.
Can I plz has determinant function?,fixed on master via #3816,This feature has been implemented.
Recent bug in torch.cat() on Variables?,"Great, this is also fixed on the `v0.3.0` branch as of 9a67882",This issue has been fixed.
